"What was the emotional valence in the scene for the characters? If they displayed multiple emotions with different valences,or different characters experienced different emotions,you may pick more than one response.","What level of emotional arousal was present in the clip for the characters? If they displayed different arousal states,or different characters experienced different levels of arousal,you may pick more than one response.",To what degree were the following emotions present in the clip? - ADMIRATION: Appreciation of another person or object,To what degree were the following emotions present in the clip? - ANGER/RAGE: Response to injured respect or autonomy of a person by another one,To what degree were the following emotions present in the clip? - COMPASSION: Concern for someone’s suffering,To what degree were the following emotions present in the clip? - CONTEMPT: Disdain of another person or object,To what degree were the following emotions present in the clip? - DISAPPOINTMENT: When expectations were not met,To what degree were the following emotions present in the clip? - FEAR: Triggered by a dangerous situation,To what degree were the following emotions present in the clip? - FEAR CONFIRMED: The confirmation of the prospect of an undesirable event,To what degree were the following emotions present in the clip? - GLOATING: To be happy because another person suffers,To what degree were the following emotions present in the clip? - GRATIFICATION: Triggered by a positive event for which one credits themselves,To what degree were the following emotions present in the clip? - GRATITUDE: Triggered by a positive event for which one credits another person,To what degree were the following emotions present in the clip? - HAPPINESS: Pleasant and joyful condition,To what degree were the following emotions present in the clip? - HAPPYFOR: Concern in happiness of someone else,"To what degree were the following emotions present in the clip? - HATE: Rejection of another person,intense dislike,or animosity",To what degree were the following emotions present in the clip? - HOPE: Positive expectation for a person or special event in the future,To what degree were the following emotions present in the clip? - LOVE: Affection for another person,To what degree were the following emotions present in the clip? - PRIDE: Positive reflection of accomplishments and status,To what degree were the following emotions present in the clip? - RELIEF: A worry/negative expectation that does not come to pass,To what degree were the following emotions present in the clip? - REMORSE: Triggered by a negative event initiated by themselves,To what degree were the following emotions present in the clip? - RESENTMENT:Response to perceived unfair treatment,To what degree were the following emotions present in the clip? - SADNESS: Emotional pain after loss or misfortune,To what degree were the following emotions present in the clip? - SATISFACTION: When expectations get fulfilled,"To what degree were the following emotions present in the clip? - SHAME: Dissatisfaction with one’s own behavior,because norms are violated"
3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1
2,4,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"4,2","5,4",4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"2,1",5,1,4,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
4,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
4,4,1,1,2,1,1,1,1,1,1,2,2,1,1,3,2,1,2,1,1,1,2,1
3,3,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,3,1
2,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,3,1
"4,3",3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1
3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1
"4,2",4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2","4,1",1,2,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
"4,2",5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,1,3,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
4,5,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"3,1","5,1",1,5,1,3,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1
1,"5,4",1,3,1,1,1,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
1,5,1,2,1,3,1,5,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1
2,4,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,1,2,2,1,1,3,2,1,1,1,1,1,2,1,1,1,4,2,2,1,1,1
"4,2",5,1,4,1,2,1,3,3,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1
2,4,1,2,1,2,1,4,1,1,1,1,1,1,3,1,1,1,1,2,2,2,1,1
"3,2","5,1",1,4,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
"3,2","5,2",1,4,1,3,1,1,3,2,1,1,1,1,4,1,1,1,1,1,2,1,3,1
"2,1","4,3",1,1,2,5,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"3,2","3,2",1,3,1,4,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,2,1,1
3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1
"4,2","3,2",1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4,3,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,2,1
4,3,3,1,1,1,1,1,1,1,2,3,3,1,1,2,2,2,1,1,1,1,3,1
5,4,4,1,1,1,1,1,1,1,4,3,4,2,1,1,2,3,1,1,1,1,3,1
4,2,1,1,1,1,1,1,1,1,3,2,3,1,1,1,2,3,1,1,1,1,4,1
4,2,4,1,1,2,1,1,1,1,3,2,1,1,1,1,1,4,1,1,1,1,1,1
3,4,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1
5,4,4,1,1,1,1,1,1,1,4,5,3,1,1,1,2,5,1,1,1,1,1,1
4,2,1,1,1,2,1,1,1,2,3,2,4,1,1,2,3,4,1,1,1,1,4,1
5,4,3,1,1,1,1,1,1,1,4,3,3,1,1,1,1,5,1,1,1,1,1,1
4,2,2,1,1,1,1,1,1,1,3,3,2,1,1,1,2,3,1,1,1,1,3,1
4,4,2,1,2,1,1,1,1,1,2,5,3,1,1,2,1,3,5,1,1,1,1,1
4,3,1,1,1,1,1,1,1,1,3,3,2,1,1,3,1,3,1,1,1,1,2,1
4,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,3,2,1,1,1,1,1
3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1
3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1
4,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1
4,3,1,1,1,1,1,1,1,1,4,3,3,1,1,1,1,3,1,1,1,1,1,1
4,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1
2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1
"5,4",4,4,1,1,1,1,1,1,1,3,1,3,1,1,1,1,4,1,1,1,1,1,1
"4,2","4,3",2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,2,2,1
"4,3",4,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1
4,4,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,2,1,1,1,1,3,1
"5,2",5,4,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
5,4,2,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1
4,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,3,1
4,4,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1
4,3,1,1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,2,3,1
"5,4",5,1,1,1,1,1,2,1,1,4,1,5,4,1,1,2,5,1,1,1,1,1,1
"4,3",4,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2",2,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
"3,2",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1
2,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2","4,3",1,2,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1
"3,2",3,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,3,1,1,2,1,1,1
3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
4,4,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,5,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1
4,4,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,2,1,1,1,2,1
2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
"3,2",4,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
4,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
4,4,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1
4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
2,"4,3",2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2,1","3,2",2,2,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1
3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
"3,1","5,3",1,1,1,5,1,1,2,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1
2,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2
3,3,1,1,1,3,1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1
3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2","3,2",1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,2,5,1,1,1
3,"4,3",1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"3,2","5,3",1,1,1,5,1,1,1,3,1,1,1,1,5,1,1,1,1,1,1,1,1,1
4,4,2,2,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"3,2","5,3",2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1
2,"4,3",1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1
"4,2","4,3",1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1
2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
"5,4,2",4,3,1,1,1,1,1,1,1,2,2,4,1,2,2,3,1,1,1,1,1,1,1
"4,3",3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1
3,3,2,1,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1
4,3,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,4,1,1,2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1
2,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,2,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
4,"4,3",2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
4,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1
3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1
3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
"4,3","4,3",2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2,4,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,1,3,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,1","4,3",1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1
2,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
4,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4,5,1,1,1,1,1,1,1,4,4,5,4,1,5,5,4,1,1,1,1,5,1
5,5,4,1,2,1,1,1,1,1,1,1,4,4,1,1,5,1,1,1,1,1,1,1
3,2,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
"4,3",4,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4,2",4,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,3,1,1
"5,1","5,3",1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,1,1,1,5,1,1
4,4,2,1,2,1,2,1,1,1,2,2,3,2,1,1,2,1,1,1,1,2,2,1
"4,2",3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,2,1
2,"4,3",1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1
2,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,3,1,2,1,1,1,1,1,2,2,3,2,1,2,2,1,2,1,1,1,2,1
4,3,2,1,1,1,1,1,1,1,1,2,2,1,1,3,1,2,1,1,1,1,1,1
3,"4,3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
2,4,1,2,1,2,2,3,3,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1
4,"3,2",1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1
3,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"4,2",4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,2,2,1,1,1,1,1,1,3,2,1,2,1,1,1,1,3,2,1,1,1,1,1
2,5,1,2,1,2,1,3,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
2,4,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
2,4,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"4,3,2",1,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1
"4,2",2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
"4,3,2","4,3,2",2,2,2,2,2,2,1,1,1,1,2,2,2,1,3,1,1,2,2,2,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
"4,2","4,3,2",2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1
"4,2",3,1,2,1,3,1,2,1,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1
4,4,5,1,2,1,1,1,1,1,3,3,4,4,1,2,4,2,1,1,1,1,3,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,"4,3",3,1,2,1,1,1,1,1,2,2,3,3,1,2,3,2,1,1,1,1,1,1
3,4,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1
4,"4,3",3,1,2,1,1,1,1,1,2,2,4,4,1,2,4,3,1,1,1,1,4,1
4,3,3,1,1,1,1,1,1,1,1,1,4,1,1,1,3,2,1,1,1,1,1,1
4,4,4,1,2,1,1,1,1,1,3,3,4,4,1,1,4,4,1,1,1,1,3,1
4,3,3,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1
4,"4,3",4,1,2,1,1,1,1,1,2,2,3,2,1,2,4,4,1,1,1,1,3,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,1,2,1,1,1,1,1,2,2,3,3,1,2,4,3,1,1,1,1,1,1
3,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1
4,4,4,1,1,1,1,1,1,1,3,3,4,3,1,3,3,1,1,1,1,1,3,1
"4,3",3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1
4,4,3,1,2,1,1,1,1,1,2,2,3,3,1,2,4,4,1,1,1,1,3,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,1,2,1,1,1,1,1,2,2,4,4,1,3,3,3,1,1,1,1,3,1
4,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1
5,4,4,1,2,1,1,1,1,1,3,3,4,4,1,2,4,2,1,1,1,1,2,1
5,3,3,1,3,1,1,1,1,1,1,2,4,4,1,1,1,1,1,1,1,1,1,1
4,"4,3",2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1
4,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
4,1,2,1,1,1,1,1,1,1,2,2,3,1,1,2,2,1,2,1,1,1,2,1
3,"3,2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"5,4,3",3,3,2,1,1,1,1,1,2,2,2,1,1,2,2,3,1,1,1,2,2,1
"3,2",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4,5,1,5,1,1,1,1,1,3,3,5,5,1,4,5,2,2,1,1,1,4,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2",3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2,4,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
5,4,3,1,3,1,1,1,1,1,2,3,5,3,1,2,5,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
3,"3,2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2","4,3",1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
"3,2","4,3",1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
2,"4,3",1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1
"3,2","4,3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2","4,3",3,3,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1
4,4,3,3,1,3,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1
2,4,1,1,1,1,1,4,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1
4,4,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1
3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"3,2","3,2",1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"4,3",2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
"3,2","3,2",1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2
"5,2",4,3,1,2,1,2,2,1,2,1,1,3,1,1,1,2,1,1,1,2,3,3,1
"4,3,2","4,3,2",1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1
3,3,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"3,2","3,2",1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2
"3,2","4,3",2,1,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1
"3,2","3,2",1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1
2,4,3,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1
"3,2","3,2",1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,1,2
2,"4,3",2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1
"3,2","4,3",1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
2,4,2,3,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,4,2,1,1
"3,2,1","5,4,3",1,3,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1
2,"4,3",2,1,2,1,3,1,1,1,1,1,1,1,1,1,4,3,2,1,4,2,1,1
"4,3,2","3,2",2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1
2,3,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1
"3,2","3,2",1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1
"4,2","4,3",2,1,3,1,1,2,1,1,3,1,2,2,1,2,2,1,1,1,4,1,2,1
"4,3,2","4,3",1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1
"3,2",4,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2","4,3",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"3,2","4,3",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,3,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1
"4,3,2","4,3",1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1
2,4,2,1,5,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1
"4,3,2","5,4,3",1,1,1,2,1,3,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2","4,3",1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3,2","3,2",1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
2,4,2,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1
"3,2","4,3",1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
2,"4,3",2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1
"4,3","4,3",1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1
2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
"3,2","4,3",2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1
4,4,4,1,1,1,2,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,1
"3,2","4,3",1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2
"2,1","5,4",3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"3,2","4,3",1,3,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,1,3,1,1,1
"4,2",4,2,1,1,1,1,2,1,3,2,1,1,1,1,1,2,2,1,1,2,1,2,1
"4,3,2","4,3",1,2,1,2,1,1,1,3,1,1,1,1,1,2,1,2,1,1,2,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4,3","4,3,2",1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
3,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
